name;author;content;url
Case Study 1;Francisco Rodrigues;Impact of Wind Generation: On this option you can watch the impact that wind generation has in the prices;https://res.cloudinary.com/aroguerra/raw/upload/Case_Study_1.xlsx
Case Study 2;Francisco Rodrigues;Impact of the Demand Response (DR): On this option you can watch the impact that demand has in the response in the prices ;https://res.cloudinary.com/aroguerra/raw/upload/Case_Study_1.xlsx
Case Study 3;Daniela Rebelo;Efect of Merit Order: On this option you can watch the effect of merit order in the scenario where wind generation has a big impact on the prices.;https://res.cloudinary.com/aroguerra/raw/upload/Case_Study_1.xlsx
